user,task_types,encoding,target,cut,split,neg_samples,pos_samples,relative_neg_samples,relative_pos_samples
0,all,binary,press,True,,1437502,17953,0.9876650257136085,0.012334974286391541
0,text,binary,press,True,,721521,13328,0.9818629405496911,0.01813705945030884
0,uniform,binary,press,True,,487561,2408,0.9950854033622535,0.00491459663774647
0,game,binary,press,True,,150417,1100,0.9927400885709194,0.007259911429080565
0,pangram,binary,press,True,,78003,1117,0.9858822042467138,0.014117795753286148
1,all,binary,press,True,,593959,8723,0.9855263638203895,0.014473636179610474
1,text,binary,press,True,,227856,6239,0.9733484269206946,0.02665157307930541
1,uniform,binary,press,True,,201731,1220,0.9939886967790255,0.006011303220974521
1,game,binary,press,True,,128337,599,0.9953542842960849,0.0046457157039151206
1,pangram,binary,press,True,,36035,665,0.9818801089918257,0.018119891008174387
2,all,binary,press,True,,449061,9402,0.9794923472559399,0.020507652744060044
2,text,binary,press,True,,211332,7083,0.9675709085914429,0.032429091408557105
2,uniform,binary,press,True,,153633,1333,0.991398113134494,0.008601886865505982
2,game,binary,press,True,,56783,202,0.9964552075107485,0.0035447924892515574
2,pangram,binary,press,True,,27313,784,0.9720966651243905,0.027903334875609496
3,all,binary,press,True,,713479,9441,0.9869404636750955,0.013059536324904553
3,text,binary,press,True,,400190,7392,0.9818637721979872,0.018136227802012846
3,uniform,binary,press,True,,218892,1335,0.9939380729883257,0.006061927011674318
3,game,binary,press,True,,52078,74,0.9985810707163676,0.0014189292836324589
3,pangram,binary,press,True,,42319,640,0.9851020740706254,0.01489792592937452
5,all,binary,press,True,,488107,8475,0.9829333322593248,0.017066667740675254
5,text,binary,press,True,,217668,6361,0.9716063545344575,0.02839364546554241
5,uniform,binary,press,True,,162771,1251,0.9923729743570985,0.007627025642901562
5,game,binary,press,True,,82132,229,0.9972195578004153,0.002780442199584755
5,pangram,binary,press,True,,25536,634,0.9757737867787543,0.024226213221245702
6,all,binary,press,True,,577943,8771,0.9850506379598919,0.014949362040108128
6,text,binary,press,True,,268740,6811,0.9752822526501446,0.02471774734985538
6,uniform,binary,press,True,,202652,1224,0.9939963507229885,0.006003649277011517
6,game,binary,press,True,,83162,283,0.9966085445503026,0.0033914554496974054
6,pangram,binary,press,True,,23389,453,0.98099991611442,0.01900008388558007
8,all,binary,press,True,,708435,8406,0.9882735502015091,0.01172644979849088
8,text,binary,press,True,,359191,6445,0.9823731798838189,0.01762682011618112
8,uniform,binary,press,True,,244691,1228,0.9950064858754305,0.004993514124569472
8,game,binary,press,True,,61278,123,0.9979967752968193,0.00200322470318073
8,pangram,binary,press,True,,43275,610,0.9861000341802438,0.013899965819756182
9,all,binary,press,True,,838177,10125,0.9880643921622252,0.011935607837774755
9,text,binary,press,True,,443167,7805,0.9826929388077309,0.017307061192269144
9,uniform,binary,press,True,,225525,1345,0.9940714946885881,0.005928505311411821
9,game,binary,press,True,,133452,416,0.9968924612304658,0.003107538769534168
9,pangram,binary,press,True,,36033,559,0.9847234368167905,0.015276563183209444
10,all,binary,press,True,,790682,8809,0.9889817396318408,0.011018260368159241
10,text,binary,press,True,,414930,6628,0.9842773710853548,0.0157226289146452
10,uniform,binary,press,True,,217451,1133,0.9948166379972917,0.005183362002708341
10,game,binary,press,True,,99753,320,0.996802334295964,0.0031976657040360536
10,pangram,binary,press,True,,58548,728,0.9877184695323571,0.01228153046764289
13,all,binary,press,True,,719738,8095,0.9888779431545424,0.011122056845457681
13,text,binary,press,True,,329670,6083,0.9818825148248862,0.01811748517511385
13,uniform,binary,press,True,,279697,1252,0.9955436751865997,0.004456324813400297
13,game,binary,press,True,,70105,151,0.9978507173764518,0.002149282623548167
13,pangram,binary,press,True,,40266,609,0.9851009174311927,0.014899082568807339
14,all,binary,press,True,,696562,9380,0.9867127894359593,0.013287210564040672
14,text,binary,press,True,,245979,6230,0.9752982645345725,0.024701735465427484
14,uniform,binary,press,True,,175685,1220,0.9931036431983268,0.006896356801673214
14,game,binary,press,True,,242776,1284,0.9947389986069,0.005261001393100057
14,pangram,binary,press,True,,32122,646,0.98028564453125,0.01971435546875
15,all,binary,press,True,,963074,9183,0.9905549664337722,0.00944503356622786
15,text,binary,press,True,,650717,7611,0.9884388936821766,0.011561106317823333
15,uniform,binary,press,True,,265734,1110,0.9958402662229617,0.004159733777038269
15,pangram,binary,press,True,,46623,462,0.9901879579483912,0.009812042051608792
16,all,binary,press,True,,659483,8862,0.9867403810906044,0.013259618909395596
16,text,binary,press,True,,345289,6871,0.9804889822807815,0.019511017719218537
16,uniform,binary,press,True,,232276,1211,0.994813415736208,0.005186584263791988
16,game,binary,press,True,,39231,123,0.9968745235554201,0.0031254764445799665
16,pangram,binary,press,True,,42687,657,0.9848421926910299,0.0151578073089701
18,all,binary,press,True,,793995,9669,0.9879688526548408,0.012031147345159171
18,text,binary,press,True,,419497,7734,0.981897381042106,0.018102618957893973
18,uniform,binary,press,True,,252638,1243,0.9951040054198621,0.004895994580137938
18,game,binary,press,True,,93973,216,0.997706738578815,0.0022932614211850643
18,pangram,binary,press,True,,27887,476,0.9832175721891196,0.016782427810880372
19,all,binary,press,True,,463977,7922,0.9832125094564726,0.016787490543527323
19,text,binary,press,True,,226568,6042,0.9740251923820988,0.02597480761790121
19,uniform,binary,press,True,,184346,1199,0.9935379557519739,0.006462044248026085
19,game,binary,press,True,,25294,76,0.9970043358297201,0.0029956641702798582
19,pangram,binary,press,True,,27769,605,0.9786776626489039,0.021322337351096073
20,all,binary,press,True,,1043302,8205,0.9921969135726153,0.007803086427384696
20,text,binary,press,True,,543150,6193,0.9887265333316343,0.011273466668365666
20,uniform,binary,press,True,,348339,1209,0.996541247553984,0.003458752446015998
20,game,binary,press,True,,89670,187,0.9979189156103587,0.002081084389641319
20,pangram,binary,press,True,,62143,616,0.99018467470801,0.009815325291989993
25,all,binary,press,True,,631351,9242,0.9855727427555405,0.01442725724445943
25,text,binary,press,True,,349120,7335,0.9794223674797661,0.02057763252023397
25,uniform,binary,press,True,,201207,1214,0.9940025985446174,0.005997401455382594
25,game,binary,press,True,,43171,84,0.9980580279736446,0.0019419720263553347
25,pangram,binary,press,True,,37853,609,0.9841661900057199,0.01583380999428007
27,all,binary,press,True,,610617,8436,0.9863727338370059,0.013627266162994122
27,text,binary,press,True,,293829,6343,0.9788687818983782,0.021131218101621736
27,uniform,binary,press,True,,208308,1218,0.9941868789553564,0.005813121044643624
27,game,binary,press,True,,73246,220,0.9970054174720279,0.002994582527972123
27,pangram,binary,press,True,,35234,655,0.9817492825099613,0.01825071749003873
28,all,binary,press,True,,539593,9792,0.9821764336485342,0.01782356635146573
28,text,binary,press,True,,298472,7790,0.9745642619717758,0.0254357380282242
28,uniform,binary,press,True,,166194,1293,0.9922799978505794,0.0077200021494205524
28,game,binary,press,True,,42664,46,0.9989229688597518,0.0010770311402481855
28,pangram,binary,press,True,,32263,663,0.9798639373139768,0.020136062686023203
31,all,binary,press,True,,669022,9346,0.9862228171140148,0.013777182885985189
31,text,binary,press,True,,325308,7032,0.9788409460191371,0.02115905398086297
31,uniform,binary,press,True,,226949,1271,0.9944308123740251,0.0055691876259749366
31,game,binary,press,True,,78224,377,0.9952036233635705,0.004796376636429562
31,pangram,binary,press,True,,38541,666,0.9830132374320912,0.016986762567908792
32,all,binary,press,True,,622011,8713,0.9861857167318827,0.013814283268117275
32,text,binary,press,True,,288015,6625,0.9775149334781428,0.02248506652185718
32,uniform,binary,press,True,,238250,1211,0.9949428090586776,0.005057190941322387
32,game,binary,press,True,,62447,241,0.9961555640632976,0.003844435936702399
32,pangram,binary,press,True,,33299,636,0.9812582879033447,0.018741712096655372
33,all,binary,press,True,,1303035,8139,0.9937925858810501,0.006207414118949888
33,text,binary,press,True,,724341,6156,0.9915728606688323,0.008427139331167684
33,uniform,binary,press,True,,423860,1211,0.9971510641751613,0.002848935824838674
33,game,binary,press,True,,61123,97,0.9984155504737015,0.0015844495262985951
33,pangram,binary,press,True,,93711,675,0.9928485156696968,0.007151484330303223
34,all,binary,press,True,,636356,8510,0.9868034599436162,0.013196540056383807
34,text,binary,press,True,,288365,6530,0.9778565252038861,0.022143474796113873
34,uniform,binary,press,True,,255094,1253,0.9951120941536277,0.0048879058463723
34,game,binary,press,True,,62099,88,0.9985849132455337,0.0014150867544663675
34,pangram,binary,press,True,,30798,639,0.9796736329802462,0.020326367019753794
35,all,binary,press,True,,541429,9617,0.9825477364866091,0.017452263513390895
35,text,binary,press,True,,315023,7777,0.9759076827757125,0.024092317224287483
35,uniform,binary,press,True,,162175,1268,0.9922419436745532,0.007758056325446792
35,game,binary,press,True,,44390,97,0.9978195877447344,0.002180412255265583
35,pangram,binary,press,True,,19841,475,0.9766194132703288,0.023380586729671197
36,all,binary,press,True,,1928253,28501,0.9854345513028209,0.014565448697179104
36,text,binary,press,True,,895576,21173,0.9769042562358945,0.02309574376410555
36,uniform,binary,press,True,,638032,3853,0.993997367129626,0.006002632870373977
36,game,binary,press,True,,292899,1594,0.9945873076779415,0.005412692322058589
36,pangram,binary,press,True,,101746,1881,0.981848359983402,0.01815164001659799
37,all,binary,press,True,,600806,8761,0.9856275028011687,0.014372497198831302
37,text,binary,press,True,,274583,6720,0.9761111683842689,0.02388883161573108
37,uniform,binary,press,True,,200461,1199,0.994054348904096,0.005945651095903997
37,game,binary,press,True,,85427,140,0.9983638552245608,0.0016361447754391295
37,pangram,binary,press,True,,40335,702,0.9828934863659624,0.017106513634037576
all,all,binary,press,True,,20019949,260478,0.9871561875891469,0.012843812410853086
all,text,binary,press,True,,10078097,198337,0.9806998225259852,0.01930017747401482
all,uniform,binary,press,True,,6574152,35912,0.9945670722704046,0.005432927729595356
all,game,binary,press,True,,2254131,8367,0.9963018751839781,0.0036981248160219368
all,pangram,binary,press,True,,1113569,17862,0.9842129126743036,0.015787087325696395
